stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
sequential,accuracy,0.0,0.0,20000,480000000,400000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,20000,441840000,361840000,18092,19992,1908,18084,1.086366,0.0954
sequential,accuracy,0.2,0.198179,20000,400760000,320760000,16038,19992,3962,16030,1.197724,0.1981
sequential,accuracy,0.3,0.303621,20000,358600000,278600000,13930,19992,6070,13922,1.338539,0.3035
sequential,accuracy,0.4,0.403561,20000,318640000,238640000,11932,19992,8068,11924,1.506402,0.4034
sequential,accuracy,0.5,0.50095,20000,279700000,199700000,9985,19992,10015,9977,1.716124,0.50075
sequential,accuracy,0.6,0.602291,20000,239180000,159180000,7959,19992,12041,7951,2.006857,0.60205
sequential,accuracy,0.7,0.70118,20000,199640000,119640000,5982,19992,14018,5974,2.404328,0.7009
sequential,accuracy,0.8,0.80087,20000,159780000,79780000,3989,19992,16011,3981,3.004131,0.80055
sequential,accuracy,0.9,0.90051,20000,119940000,39940000,1997,19992,18003,1989,4.002001,0.90015
sequential,accuracy,0.95,0.94978,20000,100240000,20240000,1012,19992,18988,1004,4.788508,0.9494
sequential,accuracy,1.0,1.0,20000,80160000,160000,8,19992,19992,0,5.988024,0.9996
random,none,0.0,0.0,1000,100000000,20000000,20000,0,0,0,1.0,0.0
random,next_page,0.0004,0.00035,1000,99993000,19993000,19993,19993,7,19986,1.00007,0.00035
random,accuracy,0.0,0.0,1000,100000000,20000000,20000,19992,0,19992,1.0,0.0
random,accuracy,0.1,0.095438,1000,98092000,18092000,18092,19992,1908,18084,1.019451,0.0954
random,accuracy,0.2,0.198179,1000,96038000,16038000,16038,19992,3962,16030,1.041255,0.1981
random,accuracy,0.3,0.303621,1000,93930000,13930000,13930,19992,6070,13922,1.064623,0.3035
random,accuracy,0.4,0.403561,1000,91932000,11932000,11932,19992,8068,11924,1.087761,0.4034
random,accuracy,0.5,0.50095,1000,89985000,9985000,9985,19992,10015,9977,1.111296,0.50075
random,accuracy,0.6,0.602291,1000,87959000,7959000,7959,19992,12041,7951,1.136893,0.60205
random,accuracy,0.7,0.70118,1000,85982000,5982000,5982,19992,14018,5974,1.163034,0.7009
random,accuracy,0.8,0.80087,1000,83989000,3989000,3989,19992,16011,3981,1.190632,0.80055
random,accuracy,0.9,0.900505,1000,81998000,1998000,1998,19991,18002,1989,1.219542,0.9001
random,accuracy,0.95,0.949777,1000,81013000,1013000,1013,19991,18987,1004,1.23437,0.94935
random,accuracy,1.0,1.0,1000,80009000,9000,9,19991,19991,0,1.249859,0.99955
random,none,0.0,0.0,2000,120000000,40000000,20000,0,0,0,1.0,0.0
random,next_page,0.0004,0.00035,2000,119986000,39986000,19993,19993,7,19986,1.000117,0.00035
random,accuracy,0.0,0.0,2000,120000000,40000000,20000,19992,0,19992,1.0,0.0
random,accuracy,0.1,0.095438,2000,116184000,36184000,18092,19992,1908,18084,1.032844,0.0954
random,accuracy,0.2,0.198179,2000,112076000,32076000,16038,19992,3962,16030,1.070702,0.1981
random,accuracy,0.3,0.303621,2000,107860000,27860000,13930,19992,6070,13922,1.112553,0.3035
random,accuracy,0.4,0.403561,2000,103864000,23864000,11932,19992,8068,11924,1.155357,0.4034
random,accuracy,0.5,0.50095,2000,99970000,19970000,9985,19992,10015,9977,1.20036,0.50075
random,accuracy,0.6,0.602291,2000,95918000,15918000,7959,19992,12041,7951,1.251069,0.60205
random,accuracy,0.7,0.70118,2000,91964000,11964000,5982,19992,14018,5974,1.304858,0.7009
random,accuracy,0.8,0.80087,2000,87978000,7978000,3989,19992,16011,3981,1.363977,0.80055
random,accuracy,0.9,0.900505,2000,83996000,3996000,1998,19991,18002,1989,1.428639,0.9001
random,accuracy,0.95,0.949777,2000,82026000,2026000,1013,19991,18987,1004,1.462951,0.94935
random,accuracy,1.0,1.0,2000,80018000,18000,9,19991,19991,0,1.499663,0.99955
random,none,0.0,0.0,4000,160000000,80000000,20000,0,0,0,1.0,0.0
random,next_page,0.0004,0.00035,4000,159972000,79972000,19993,19993,7,19986,1.000175,0.00035
random,accuracy,0.0,0.0,4000,160000000,80000000,20000,19992,0,19992,1.0,0.0
random,accuracy,0.1,0.095438,4000,152368000,72368000,18092,19992,1908,18084,1.050089,0.0954
random,accuracy,0.2,0.198179,4000,144152000,64152000,16038,19992,3962,16030,1.10994,0.1981
random,accuracy,0.3,0.303621,4000,135720000,55720000,13930,19992,6070,13922,1.178898,0.3035
random,accuracy,0.4,0.403561,4000,127728000,47728000,11932,19992,8068,11924,1.252662,0.4034
random,accuracy,0.5,0.50095,4000,119940000,39940000,9985,19992,10015,9977,1.334,0.50075
random,accuracy,0.6,0.602291,4000,111836000,31836000,7959,19992,12041,7951,1.430666,0.60205
random,accuracy,0.7,0.70118,4000,103928000,23928000,5982,19992,14018,5974,1.539527,0.7009
random,accuracy,0.8,0.80087,4000,95956000,15956000,3989,19992,16011,3981,1.667431,0.80055
random,accuracy,0.9,0.900505,4000,87992000,7992000,1998,19991,18002,1989,1.818347,0.9001
random,accuracy,0.95,0.949777,4000,84052000,4052000,1013,19991,18987,1004,1.903583,0.94935
random,accuracy,1.0,1.0,4000,80036000,36000,9,19991,19991,0,1.9991,0.99955
random,none,0.0,0.0,5000,180000000,100000000,20000,0,0,0,1.0,0.0
random,next_page,0.0004,0.00035,5000,179965000,99965000,19993,19993,7,19986,1.000194,0.00035
